NOMS;LIEUX;HORAIRES;PMR;X_CC48;Y_CC48;X_L93;Y_L93;X_WGS84;Y_WGS84
ROBIDOU;Face 28 rue Bertrand Robidou;6h à 23h;OUI;1353292.61;7222463.01;353448.70;6788828.34;-1.65890440;48.10778901
Saint-GEORGES;Jardin St. Georges;;;1352146.11;7222958.40;352302.05;6789321.85;-1.67467602;48.11161261
Haut des LICES 1 & 2;Place du Haut des LICES;n1 Jours de marchés & n2 TLJ;?;1351555.75;7223173.02;351711.66;6789535.52;-1.68276510;48.11321736
MAIRIE centrale;Place de la Mairie;du L au V 8h30 à 17h, le S de 9h30 à 12h;NON;1351754.81;7222982.10;351910.90;6789344.98;-1.67994098;48.11161204
MAC MAHON;Bd de VERDUN;;?;1351141.49;7223716.08;351296.82;6790077.73;-1.68876202;48.11786642
PARC OBERTHUR;Parc Hamelin Oberthür;Horaires du Parc;NON;1353328.97;7222992.57;353484.29;6789357.70;-1.65884647;48.11256303
Thabord GRIGNAN;1 rue de Grignan;Horaires du Parc;OUI;1352402.69;7223373.82;352557.91;6789737.44;-1.67157417;48.11548189
Thabord NOTRE DAME;1 place St. Melaine parc;Horaires du Parc;NON;1352242.95;7223285.18;352398.37;6789648.62;-1.67364372;48.11459915
Thabord Parc;Coté Bd. de la Duchesse Anne;Horaires du Parc;OUI;1352792.54;7223174.07;352947.86;6789538.34;-1.66618524;48.11390082
Thabord PARIS;1 rue de Paris;Horaires du Parc;NON;1352433.46;7223017.21;352589.17;6789381.04;-1.67087172;48.11229712
DUCHESSE ANNE;Face au 3 Bd. de la Duchesse Anne;8h15 à 16h15;NON;1352791.41;7223055.71;352946.90;6789420.03;-1.66610433;48.11283760
Esplanade G. De GAULLE;Esplanade Gl. De Gaulle;6h à 23h;OUI;1351913.69;7222407.04;352070.53;6788770.42;-1.67734269;48.10653599
HOCHE;Face au 10 place Hoche et sous-terrain;8h à 1h45;OUI;1351988.82;7223374.41;352144.24;6789737.44;-1.67712334;48.11526166
Saint GERMAINS;2 place St. Germains;;OUI;1352018.29;7222830.54;352174.47;6789193.87;-1.67628543;48.11039509
Sainte ANNE;Face au 15 place Ste.Anne;;OUI;1351702.39;7223299.19;351858.05;6789661.85;-1.68090208;48.11443015
Place de BRETAGNE;8 place de Bretagne;6h à 23h;OUI;1351446.88;7222706.40;351603.51;6789068.97;-1.68384415;48.10896878
REPUBLIQUE;Face 1 Quai Lamennais;24h / 24h;OUI;1351704.67;7222810.16;351861.03;6789173.05;-1.68047298;48.11004102
Colombia;rez de chaussé Colombia;;?;1351598.10;7222228.14;351755.35;6788591.16;-1.68142727;48.10475775
APIGNE;Parking 2 Chemin rural 72;TLJ;OUI;1346728.15;7221264.91;346889.14;6787621.36;-1.74590428;48.09343413
APIGNE;Parking 1 Chemin rural 72;TLJ;OUI;1347203.76;7221093.84;347364.77;6787451.06;-1.73938983;48.09216136
JUILLET;Face au 5 rue de Juillet;6h à 23h;NON;1351428.67;7223088.93;351584.76;6789451.29;-1.68440017;48.11239303
